Country,CC,CF,GDP,RE,CHE,CHE_GDP,CO2 ,CO2m,IMD,IMH,IMM,P,F,Handwash,Sanitation ,Water,U,Tobacco,Tobacco_fem,Tobacco_m,PM,EAB,EAS,EAP,EAL,Mortality,Deaths,OAP,OAPc,Population,Population_m,Population_f
Gabon,GAB,88.8,7523.8622784602,89.78,208.28834534,2.76836324,5274.5,2.35176354398661,70,70,62,..,3.615,..,49.7848246840842,85.9840211658641,16.6,..,..,..,36.74675483,..,..,..,..,43.2,2726,23.08802223,48.08965671,2242785,1144323,1098462
"Gambia, The",GMB,1.8,722.875350964205,47.32,22.83255005,3.158566,606.9,0.241900479217245,88,88,85,0.1073,4.869,12.9120231633742,47.2014093324921,83.8990207770481,18,11.6,0.9,22.2,58.08072376,..,..,..,..,51.5,4380,20.21388626,4.61534544,2508883,1247342,1261541
Georgia,GEO,87.6,4696.15058555612,24.69,308.56665039,6.65744209,10549.6,2.83579124666916,94,94,99,7.0784,2.011,91.667342972396,86.5320783368937,94.4360269319349,7.8,31.7,7,56.3,17.85586499,34.7629318237305,91.6939392089844,98.9626083374023,97.1454391479492,9.7,514,46.7677536,144.30969363,3720161,1750910,1969251
Germany,DEU,100,46793.6867615995,17.07,5478.10253906,11.69622993,658693.5,7.9271876239049,91,88,97,4.3716,1.54,..,99.2253840840528,99.9999995489977,2.5,22.5,20.4,24.6,11.80580716,..,..,..,..,3.7,2884,13.47565937,738.21043902,83092962,40996355,42096607
Ghana,GHA,27.3,2167.92544002254,42.6,73.52350616,3.39142489,18039.1,0.572264895729339,97,97,92,0.1064,3.683,41.4675932423186,24.9960729195517,85.2423371017475,5.2,3.6,0.4,6.8,53.98926008,..,..,..,..,47.2,42193,35.78432083,26.30988644,31522290,15723678,15798612
Gibraltar,GIB,..,..,0,..,..,..,..,..,..,..,..,1.863,..,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,32685,16320,16366
Greece,GRC,100,19144.2843875557,18.52,1569.02905273,8.20262337,59990.3,5.59528435262632,99,96,97,6.3072,1.34,..,98.9902622377645,99.9999992981031,2.5,34.5,31.2,37.7,14.2538714,..,..,..,..,4,334,33.64272308,527.86407123,10721582,5254476,5467106
Greenland,GRL,..,53309.5792663647,10.84,..,..,..,..,..,..,..,..,2.08,..,62.5,100,..,..,..,..,6.462977097,14.4744501113892,45.8143310546875,100,100,..,..,..,..,56225,29662,26563
Grenada,GRD,89.2,9887.92074235834,10.37,487.60290527,4.93189621,346.2,2.82096411459861,92,94,94,..,2.042,..,..,..,..,..,..,..,21.48591655,..,..,..,..,16.5,34,54.42095566,265.35817883,122724,61483,61240
Guam,GUM,..,37752.633077142,3.53,..,..,..,..,..,..,..,..,2.623,..,90.1852545469869,99.6952,..,..,..,..,8.221834725,..,..,..,..,..,..,..,..,168624,85102,83522
Guatemala,GTM,46.3,4647.80734000427,62.82,278.54898071,6.18663979,19017.8,1.14537281500282,85,85,90,..,2.61,76.7664176720701,68.2436687072873,93.5077090807793,16.3,11,1.6,20.4,27.64788197,4.11011981964111,22.4281196594238,46.0521011352539,29.4545993804932,24.6,9791,55.9891777,155.95727486,16604026,8223795,8380231
Guinea,GIN,0.900000000000001,1043.89988619523,68.27,42.68258286,4.06729603,4517,0.350765779082478,47,47,47,..,4.576,20.4017047132877,27.606397594017,67.6752472334276,..,..,..,..,52.51253174,..,..,..,..,104,46437,59.2154274,25.27467612,12877539,6349991,6527547
Guinea-Bissau,GNB,1,730.611432269736,86.2,61.00823593,8.35054398,325.3,0.16508860634868,78,78,79,..,4.172,16.5820498383063,24.9811064482039,61.374471808356,..,9.3,0.9,17.6,54.06829369,..,..,..,..,79.5,4979,65.14950562,39.74656324,1970457,971745,998712
Guyana,GUY,79.5,6477.29672607993,11.31,319.36257935,4.93049145,2795.9,3.50033114116629,99,99,98,..,2.44,81.2159242667084,89.1498898157526,94.9483638235288,5,12.6,2.5,22.7,20.10090382,4.73506021499634,36.3450584411621,84.6027297973633,58.0942993164062,29.4,481,34.83069611,111.23620258,798753,392821,405932
Haiti,HTI,4.1,1345.47505482083,76.37,49.08564227,3.91107914,3317.34,0.297241022260954,51,51,65,..,2.919,22.2645912021566,36.9385275856622,66.3209862141568,46.4,7.9,3.2,12.5,19.03230796,..,..,..,..,62.5,16829,39.03829004,19.1621954,11160438,5535128,5625310
Honduras,HND,48.6,2519.36619342175,46.16,184.03918457,7.30497599,10196.4,1.02385531471622,88,88,89,..,2.427,84.8007549465735,81.952553182089,94.6068475212683,13.3,..,..,..,22.87512366,11.0530700683594,27.7999992370605,62.2099990844727,33.939998626709,17.8,3804,52.46878433,96.56312154,9958829,5031794,4927035
"Hong Kong SAR, China",HKG,..,48359.0032522111,0.23,..,..,..,..,..,..,..,..,1.064,..,96.5173550087873,100,2.5,..,..,..,..,..,62.281078338623,94.0477600097656,77.1004333496094,..,..,..,..,7507900,3467315,4040585
Hungary,HUN,100,16786.2136399075,13.64,1053.72363281,6.29731894,47261.8,4.8368762665486,99,..,99,3.5248,1.55,..,97.9861353715644,100,2.5,32.2,28,36.4,16.49434933,..,..,..,..,4.1,382,27.80134964,292.94939962,9771141,4678279,5092862
Iceland,ISL,100,68403.1448095284,81.57,5865.23144531,8.5256052,1638.2,4.54345010442003,92,..,93,4.1416,1.74,..,98.7811023801508,99.9999984604769,2.5,12.6,12.5,12.6,5.698616135,42.4569816589355,73.7419281005859,..,99.4036483764648,2.7,11,15.54543591,911.77576674,360563,184880,175683
India,IND,63.3,2050.16378973235,33.27,60.66871643,2.94352531,2423951.4,1.75253436625037,91,91,95,..,2.109,70.1335988725305,69.6631460883283,91.5622211412629,14.6,28.1,13.7,42.4,83.19931634,..,..,50.131950378418,36.1479682922363,34.3,819727,53.379879,32.38488775,1383112050,714325057,668786993
Indonesia,IDN,81.6,4151.22755454135,19.77,120.58958435,2.90491366,605290.6,2.24528577070833,85,85,88,0.4651,2.215,78.4158442814724,82.0727007179025,91.8137421547406,6.2,37.2,3.8,70.6,19.37146134,..,..,..,..,23.8,108758,34.76155853,41.91881496,269582878,135798442,133784436
"Iran, Islamic Rep.",IRN,96.7,3276.75326508099,1,450.59701538,5.94786263,625251.5,7.22298000274987,99,99,99,..,1.77,..,90.0210873435845,97.3236128720162,4.9,14,3.3,24.7,38.01508315,..,..,..,..,13.5,19049,39.49374771,177.95764934,86564202,43792157,42772045
Iraq,IRQ,99,5621.18169491752,1.04,239.57891846,4.25629616,180687.6,4.34726413932218,84,84,82,..,3.604,96.6975955558301,97.8648532741405,97.7787852249274,17.4,18.8,2,35.5,48.46825216,..,..,..,..,26.2,30399,50.09696198,120.02175982,41563520,20788703,20774818
Ireland,IRL,100,80927.0746710651,12.33,5430.99707031,6.6733737,35812.2,7.25774875667262,94,93,91,3.352,1.71,..,89.3073908166857,96.0041044843285,2.5,21.4,19.7,23.1,7.854094218,..,..,..,..,3.3,203,11.82679081,642.31267759,4934340,2444120,2490220
Isle of Man,IMN,..,87152.4530174045,1.9,..,..,..,..,..,..,..,..,1.614,..,100,99.4745862903226,..,..,..,..,..,..,..,..,..,..,..,..,..,83933,41583,42350
Israel,ISR,100,44452.2325623093,4.49,3454.46801758,7.47252941,62796.3,6.9357521537442,98,96,99,3.5781,3.01,..,99.9420152981856,99.9999972375092,2.5,21.6,13.9,29.3,19.75989688,..,..,..,..,3.5,637,21.03798294,726.75040415,9054000,4509772,4544229
Italy,ITA,100,33673.7509627414,17.27,2910.62792969,8.6563549,317223,5.31103098673157,96,95,94,3.9958,1.27,..,99.8852240140235,99.9170340740928,2.5,23.3,19.6,26.9,16.08828133,..,..,..,..,3,1290,23.46083832,682.85774092,59729081,29090818,30638263
Jamaica,JAM,84.2,5626.17040261069,9.2,343.06192017,6.09761,8394.3,2.98328969678791,96,96,94,..,1.37,..,86.6316041352183,90.997352554366,7.5,9.7,3.9,15.5,15.28940246,..,..,..,..,13.2,457,16.43945885,56.3975268,2813773,1396657,1417116
Japan,JPN,100,40415.9567649547,7.76,4378.77490234,10.75110722,1073645.3,8.47840057488964,98,99,96,..,1.36,..,99.9465277383563,99.0623169265831,2.8,20.5,10.2,30.8,13.46980666,..,..,..,..,2.5,2193,12.92639256,566.01762601,126633000,61567714,65065286
Jordan,JOR,99.9,4159.67140765344,8.46,314.88452148,7.56996918,23147.9,2.16362144761182,89,89,87,2.6614,2.918,..,97.2214886294743,98.9513662051964,14.6,34.6,12.7,56.5,30.64558855,..,..,..,..,15.5,3711,30.33984375,95.53546563,10698683,5555605,5143079
Kazakhstan,KAZ,93.8,9812.59553636276,1.85,270.01306152,2.78745699,204592.2,11.0508703486337,97,97,99,3.9914,2.9,..,97.8696948845301,95.4270288711281,2.5,23.5,6.9,40.1,20.29485447,..,..,..,..,10.2,4093,33.86382675,91.43675834,18513673,8890215,9623458
Kenya,KEN,19.5,1970.0800629654,71.42,86.06783295,4.36111116,19481.9,0.382362032876395,91,91,89,..,3.469,37.4470483463203,35.2957947881613,60.8607832568561,25.6,11.5,2.9,20.1,21.61458718,3.62670993804932,27.066089630127,69.8176498413086,55.1886100769043,39.4,57117,24.29976273,20.91427993,50951450,25272193,25679257
Kiribati,KIR,10,1410.01508996396,42.59,163.10388184,11.38678551,73.6,0.592397034795277,97,94,94,..,3.368,55.5194864593371,44.0010104812494,73.7493673795618,4,41.7,28.2,55.2,9.468882294,..,..,..,..,51.4,178,0.1049399,0.17116105,124241,60390,63851
"Korea, Dem. People's Rep.",PRK,11.1,..,11.31,..,..,55548.4,2.15676369121383,97,97,98,..,1.84,..,84.6194906759029,93.8236859124211,43,17.8,0,35.5,44.32957478,..,..,..,..,17.3,5968,..,..,25755441,12707874,13047566
"Korea, Rep.",KOR,100,31902.4169048194,3.23,2595.22338867,8.14101028,612133.7,11.8252835873752,98,98,98,2.4843,0.918,..,99.8540106204028,99.7657984771461,2.5,21.4,6,36.8,27.44033926,..,..,..,..,3.1,1025,30.24508095,784.92746245,51764822,25874966,25889856
