Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1961,YR1961,Guyana,GUY,..,315.750055298827,..,64.5,39,88.2,..,..,..,..,185849535.298724,588597,..
1961,YR1961,"Hong Kong SAR, China",HKG,..,436.754411520393,..,..,..,..,..,..,..,..,1383681651.13776,3168100,..
1961,YR1961,Hungary,HUN,..,..,..,45.4,27.2,51.2,..,..,..,1.6,..,10029321,..
1961,YR1961,Iceland,ISL,..,1418.1247283433,..,17,11.3,21.1,..,..,..,1.2,253885451.990572,179029,..
1961,YR1961,Ireland,IRL,..,739.276406442666,..,29.2,20.1,33.8,..,..,..,..,2088012282.35667,2824400,..
1961,YR1961,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,48422,..
1961,YR1961,Israel,ISR,..,1595.98620930962,..,32.7,..,39.6,..,..,..,..,3487229867.34153,2185000,..
1961,YR1961,Italy,ITA,..,887.336744604475,..,42.6,23.6,49.9,..,..,..,..,44842760293.1924,50536350,..
1961,YR1961,Japan,JPN,..,568.907742129794,..,27.9,..,36.2,..,..,..,1,53508617686.0178,94055000,..
1961,YR1961,"Korea, Rep.",KOR,..,93.8317591480009,..,76.1,28.2,106.5,..,..,..,..,2417638423.22215,25765673,..
1961,YR1961,Kuwait,KWT,..,..,..,92.5,..,132.4,..,..,..,..,..,339697,..
1961,YR1961,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,2152681,..
1961,YR1961,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,16834,..
1961,YR1961,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,2823550,..
1961,YR1961,Luxembourg,LUX,..,2222.36636636277,..,30.3,..,35.7,..,..,..,1,704145671.350213,316845,..
1961,YR1961,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,178672,..
1961,YR1961,Malta,MLT,..,..,..,34.2,..,38.2,..,..,..,..,..,325250,..
1961,YR1961,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,21907,..
1961,YR1961,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,4753,..
1961,YR1961,Netherlands,NLD,..,1159.39235716074,..,16,13.1,20.3,..,..,..,1.1,13493833739.9949,11638712,..
1961,YR1961,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,81200,..
1961,YR1961,New Zealand,NZL,..,2343.29221317425,..,21.7,..,26.9,..,..,..,1.1,5670064168.21773,2419700,..
1961,YR1961,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,8965,..
1961,YR1961,Norway,NOR,..,1560.3249311723,..,17.9,12,22.1,..,..,..,..,5632460936.54576,3609800,..
1961,YR1961,Oman,OMN,..,..,..,..,..,353.9,..,..,..,..,..,546443,..
1961,YR1961,Panama,PAN,..,516.031863353181,..,65.1,39,89.2,..,..,..,..,599026300,1160832,..
1961,YR1961,Poland,POL,..,..,..,53.5,..,60.4,..,..,..,1,..,29964000,..
1961,YR1961,Portugal,PRT,..,382.729946994368,..,82.4,27.1,110.3,..,..,..,0.8,3417516639.37596,8929316,..
1961,YR1961,Puerto Rico,PRI,..,777.215027407341,..,..,..,..,..,..,..,..,1865100000,2399722,..
1961,YR1961,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,40111,..
1961,YR1961,Romania,ROU,..,..,..,67.3,..,79.7,..,..,..,..,..,18555250,..
1961,YR1961,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,15895,..
1961,YR1961,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,4306048,..
1961,YR1961,Seychelles,SYC,..,270.279660635542,..,74,..,103.2,..,..,..,..,11592024.3649978,42889,..
1961,YR1961,Singapore,SGP,..,449.14813651835,..,32.8,..,43.7,..,..,..,..,764629787.608839,1702400,..
1961,YR1961,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,2888,..
1961,YR1961,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,4191667,..
1961,YR1961,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,1594131,..
1961,YR1961,Spain,ESP,..,450.053289246968,..,44.9,20.7,52,..,..,..,..,13834300571.4849,30739250,..
1961,YR1961,St. Kitts and Nevis,KNA,..,221.937207671105,..,..,..,..,..,..,..,..,12483302.1198766,56247,..
1961,YR1961,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,4258,..
1961,YR1961,Sweden,SWE,..,2288.92176298646,..,16,12.8,19.2,..,..,..,1,17212687079.8146,7519998,..
1961,YR1961,Switzerland,CHE,..,1971.31635602828,..,21.2,16,26,..,..,..,1.4,10712712645.6663,5434294,..
1961,YR1961,Trinidad and Tobago,TTO,..,676.237787306359,..,54.3,36.5,65.3,..,..,..,..,584964620.678045,865028,..
1961,YR1961,Turks and Caicos Islands,TCA,..,..,..,95.2,..,128,..,..,..,..,..,5625,..
1961,YR1961,United Arab Emirates,ARE,..,..,..,128.9,..,191.1,..,..,..,..,..,140984,..
1961,YR1961,United Kingdom,GBR,..,1472.38577733235,..,22.5,15.6,26.1,..,..,..,0.9,77741969043.1479,52800000,..
1961,YR1961,United States,USA,..,3066.56286916615,..,25.4,..,29.5,..,..,..,..,563300000000,183691000,..
1961,YR1961,Uruguay,URY,..,604.176627257854,..,55.4,..,62.2,..,..,..,..,1547388781.43133,2561153,..
1961,YR1961,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,34300,..
1962,YR1962,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,21272,..
1962,YR1962,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,11014,..
1962,YR1962,Antigua and Barbuda,ATG,..,..,..,54.3,..,74,..,..,..,..,..,57008,..
1962,YR1962,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,56682,..
1962,YR1962,Australia,AUS,..,1854.64189070944,..,19.5,..,23.7,..,..,..,..,19922563190.0008,10742000,1870
1962,YR1962,Austria,AUT,..,1087.8342434189,..,32.9,22,37.9,..,..,..,1.4,7756110210.11966,7129864,1060
1962,YR1962,"Bahamas, The",BHS,..,1680.49484945793,..,..,..,..,..,..,..,..,212254901.960784,126305,1490
1962,YR1962,Bahrain,BHR,..,..,..,113.2,..,165.8,..,..,..,..,..,173359,..
1962,YR1962,Barbados,BRB,..,..,..,61.1,..,73.2,..,..,..,..,..,234829,..
1962,YR1962,Belgium,BEL,..,1438.5232330684,..,27,17.8,31.1,..,..,..,1.4,13264015675.3193,9220578,1450
1962,YR1962,Bermuda,BMU,..,2020.38596495589,..,..,..,..,..,..,..,..,94149985.9669446,46600,..
1962,YR1962,British Virgin Islands,VGB,..,..,..,62.1,..,74.3,..,..,..,..,..,7902,..
